X_m,Y_m,Z_m,Temperature_C
0.0643362999999999,0.00676800299999999,0,541.871057
0.0937571500000001,0.00576500599999999,0,689.566309
0.0942492399999999,0.00576500599999999,0,694.912622
0.153520100000001,0.024979011,0,446.39718
0.15309095,0.024726004,0,447.247156
0.157807350000001,0.027505011,0,438.183008
0.15737819,0.027253002,0,439.11886
0.16025209,0.025875002,0,437.803918
0.13223934,0.018221006,0,549.155359
0.13270711,0.018391013,0,545.930505
0.16129493,0.029414013,0,428.499231
0.16176319,0.029584006,0,427.17959
0.0226683599999999,0.00320001,0,631.557458
0.0221772100000006,0.00320001,0,633.544336
0.00792312000000006,0,0,739.00472
0.0454993200000002,0,0,749.79995
0.0451231000000005,0,0,745.91714
0.0502161900000004,0,0,754.8948
0.12425708,0.013369009,0,567.884851
0.12380218,0.013530001,0,567.76095
0.00608635000000035,0.00654600599999999,0,730.87454
0.00616931000000065,0.00609000099999998,0,731.02548
0.0215673400000007,0.005200014,0,635.204919
0.0210690500000004,0.005200014,0,637.542871
0.0270919800000007,0.00320001,0,620.092188
0.05498695,0.00676800299999999,0,571.947473
0.05449533,0.00676800299999999,0,574.886804
0.00398634999999992,0.00904101199999999,0,727.05923
0.00398634999999992,0.00938201,0,726.422632
0.00433634999999999,0.00938201,0,726.783533
0.0579390499999999,0.00676800299999999,0,557.446313
0.0574469500000001,0.00676800299999999,0,559.525293
0.0681343000000005,0.00876700899999999,0,541.893091
0.0676369600000006,0.00876700899999999,0,541.419397
0.0626611700000002,0.00876800699999999,0,543.449182
0.0631580300000003,0.00876800699999999,0,542.691675
0.08187532,0.00994201,0,603.463464
0.0949621199999999,0.015638009,0,620.590723
0.0954599300000005,0.015638009,0,620.913965
0.0992889400000001,0.013638005,0,628.788171
0.0823130600000006,0.010178,0,605.911096
0.10222625,0.013080001,0,646.314722
0.10222625,0.012611002,0,648.354761
0.17812633,0.03011401,0,391.610681
0.177628990000001,0.03011401,0,392.567957
0.0111041000000007,0.010382012,0,689.384485
