X_m,Y_m,Z_m,Temperature_C,node_id
0.0643362999999999,0.0067680029999999,0,541.871057,3
0.0937571500000001,0.0057650059999999,0,689.566309,16
0.0942492399999999,0.0057650059999999,0,694.912622,18
0.153520100000001,0.024979011,0,446.39718,21
0.15309095,0.024726004,0,447.247156,23
0.157807350000001,0.027505011,0,438.183008,24
0.15737819,0.027253002,0,439.11886,26
0.16025209,0.025875002,0,437.803918,34
0.13223934,0.018221006,0,549.155359,37
0.13270711,0.018391013,0,545.930505,38
0.16129493,0.029414013,0,428.499231,43
0.16176319,0.029584006,0,427.17959,44
0.0226683599999999,0.00320001,0,631.557458,57
0.0221772100000006,0.00320001,0,633.544336,58
0.00792312,0.0,0,739.00472,67
0.0454993200000002,0.0,0,749.79995,69
0.0451231000000005,0.0,0,745.91714,70
0.0502161900000004,0.0,0,754.8948,73
0.12425708,0.013369009,0,567.884851,81
0.12380218,0.013530001,0,567.76095,82
0.0060863500000003,0.0065460059999999,0,730.87454,88
0.0061693100000006,0.0060900009999999,0,731.02548,89
0.0215673400000007,0.005200014,0,635.204919,91
0.0210690500000004,0.005200014,0,637.542871,93
0.0270919800000007,0.00320001,0,620.092188,97
0.05498695,0.0067680029999999,0,571.947473,99
0.05449533,0.0067680029999999,0,574.886804,100
0.0039863499999999,0.0090410119999999,0,727.05923,105
0.0039863499999999,0.00938201,0,726.422632,106
0.0043363499999999,0.00938201,0,726.783533,107
0.0579390499999999,0.0067680029999999,0,557.446313,108
0.0574469500000001,0.0067680029999999,0,559.525293,109
0.0681343000000005,0.0087670089999999,0,541.893091,111
0.0676369600000006,0.0087670089999999,0,541.419397,113
0.0626611700000002,0.0087680069999999,0,543.449182,119
0.0631580300000003,0.0087680069999999,0,542.691675,120
0.08187532,0.00994201,0,603.463464,125
0.0949621199999999,0.015638009,0,620.590723,132
0.0954599300000005,0.015638009,0,620.913965,133
0.0992889400000001,0.013638005,0,628.788171,139
0.0823130600000006,0.010178,0,605.911096,143
0.10222625,0.013080001,0,646.314722,148
0.10222625,0.012611002,0,648.354761,150
0.17812633,0.03011401,0,391.610681,163
0.177628990000001,0.03011401,0,392.567957,165
0.0111041000000007,0.010382012,0,689.384485,174
0.18803501,0.045881003,0,360.615747,192
0.19066906,0.031864003,0,375.531274,206
0.18500709,0.031687007,0,376.642053,211
0.18473434,0.031270013,0,377.506067,213
0.176651000000001,0.028114006,0,394.464807,222
0.17615509,0.028114006,0,395.427515,223
0.16020727,0.022409007,0,442.792688,225
0.16020727,0.022904009,0,442.408472,227
0.159522050000001,0.02851601,0,433.681177,231
0.15995121,0.028767005,0,432.397424,232
0.16020727,0.025382012,0,439.025964,237
0.16041421,0.026341006,0,436.26333,238
0.16068601,0.026754007,0,434.515283,240
0.12332725,0.015638009,0,567.169946,243
0.11536502,0.015638009,0,587.982568,244
0.0854520800000005,0.006328002,0,621.372278,255
0.0859260500000003,0.0061970059999999,0,623.896387,257
0.14837503,0.021947012,0,458.490442,265
0.16758537,0.043681011,0,362.583093,267
0.0138211200000002,0.00320001,0,690.329309,300
0.0143122600000005,0.00320001,0,685.660974,301
0.0216851199999999,0.00320001,0,635.680261,302
0.0280752099999999,0.00320001,0,619.101709,308
0.0275840700000005,0.00320001,0,619.526086,309
0.0461053800000002,0.003447011,0,693.337183,315
0.04233026,0.00320001,0,669.639734,316
0.0418381600000002,0.00320001,0,665.34939,317
0.0445094100000007,0.0016050039999999,0,721.253748,318
0.0443501400000006,0.0020700099999999,0,710.014612,319
0.0481100000000003,0.002305001,0,753.16995,324
0.0202112200000002,0.00320001,0,642.954736,327
0.0197191200000004,0.00320001,0,645.677332,328
0.0487222599999999,0.0049080109999999,0,636.779749,329
0.0487222599999999,0.0044650139999999,0,637.894006,330
0.0482950200000003,0.0044650139999999,0,639.260583,331
0.0324993100000004,0.00320001,0,621.602075,338
0.0320081700000001,0.00320001,0,620.76217,339
0.0310220700000006,0.005200014,0,618.548547,349
0.03152036,0.005200014,0,619.113,350
0.0623683900000005,0.0067680029999999,0,544.442407,361
0.0628600100000005,0.0067680029999999,0,543.61709,363
0.0696272800000006,0.0087670089999999,0,544.058923,368
0.0701251000000003,0.0087670089999999,0,545.030481,369
0.0746703100000001,0.0067670049999999,0,560.311853,374
0.0741782100000004,0.0067670049999999,0,558.188623,375
0.0697493500000004,0.0067680029999999,0,544.775354,383
0.0692572500000006,0.0067680029999999,0,543.905298,384
0.08834505,0.005777002,0,637.073999,390
0.0497980099999999,0.0,0,754.8926,395
0.0514712300000006,0.0013050139999999,0,754.91763,398
0.0514712300000006,0.0009790069999999,0,754.90139,399
0.0638442000000001,0.0067680029999999,0,542.331812,404
0.0633521000000004,0.0067680029999999,0,542.913721,405
0.0672893500000002,0.0067680029999999,0,541.641687,408
0.0340080199999999,0.005200014,0,624.096338,417
0.03749132,0.005200014,0,637.196863,421
0.0379891400000005,0.005200014,0,639.662561,422
0.0503430300000005,0.0078950079999999,0,602.372339,423
0.0148043600000003,0.00320001,0,681.211755,429
0.0165910700000005,0.005200014,0,665.388025,436
0.01005506,0.010382012,0,689.620386,455
0.0097050599999999,0.010382012,0,689.399133,457
0.0559711400000005,0.0067680029999999,0,566.555078,458
0.0554790500000006,0.0067680029999999,0,569.175806,459
0.0840129800000007,0.0066530109999999,0,613.372949,470
0.0805740300000002,0.0067670049999999,0,593.547205,472
0.0727009700000005,0.0067670049999999,0,552.584253,479
0.0722093500000005,0.0067670049999999,0,550.971216,480
0.0805101400000003,0.0093400029999999,0,594.839258,484
0.0093550600000007,0.008964002,0,692.191614,485
0.0535111400000003,0.0067680029999999,0,581.443811,488
0.0677809700000003,0.0067680029999999,0,542.025903,495
0.0569553300000001,0.0067680029999999,0,561.73446,501
0.0093550600000007,0.0094360119999999,0,690.847864,506
0.0831871,0.010655001,0,610.22561,511
0.0827503200000006,0.010416001,0,608.156763,512
0.09244203,0.0083980119999999,0,680.967371,519
0.09347438,0.015535012,0,620.120325,540
0.0974502500000005,0.015638009,0,623.33291,551
0.0984449300000003,0.015638009,0,625.518945,556
0.11237907,0.015638009,0,605.587976,558
0.11188221,0.015638009,0,609.059351,560
0.11586332,0.015638009,0,585.5823,561
0.11636018,0.015638009,0,583.335168,566
0.116858000000001,0.015638009,0,581.234277,580
0.10775423,0.012654007,0,656.499109,588
0.10790109,0.015638009,0,638.819727,590
0.10839796,0.015638009,0,635.658899,591
0.0963382700000004,0.010737002,0,622.75802,610
0.0958671500000001,0.010737002,0,622.689661,611
0.10448932,0.011348009,0,653.830286,620
0.17115926,0.03011401,0,405.335413,634
0.17165708,0.03011401,0,404.313318,635
0.17215538,0.03011401,0,403.3005,643
0.172652240000001,0.03011401,0,402.298242,644
0.17266941,0.039799005,0,362.224634,647
0.17316627,0.039799005,0,362.20083,649
0.17315006,0.03011401,0,401.301599,650
0.1641941,0.030082003,0,420.913599,664
0.16836023,0.040776,0,362.596765,668
0.16789102,0.04094401,0,362.672144,669
0.16871404,0.043881014,0,362.009912,677
0.1724863,0.054641009,0,356.192346,686
0.1724863,0.055129007,0,355.960107,687
0.17848634,0.057594002,0,353.517603,703
