edge_name,edge_point_id,X_m,Y_m,Z_m,Temperature_C,node_id,chainage,distance_to_ref
Right,68,0.188850400000001,0.042620004,0,361.997583,3551,0.03365171454926882,0.0
Right,69,0.18934631,0.042641014,0,361.912439,2250,0.034148069410430665,0.0
Right,70,0.18959331,0.042641014,0,361.896997,3557,0.03439506941043066,0.0
Right,71,0.189841270000001,0.042641014,0,361.897913,3559,0.034534149155602746,0.00020528221581456616
Right,72,0.189841270000001,0.043007002,0,361.871301,3558,0.034837145623028115,0.0
Right,73,0.189841270000001,0.043373004,0,361.820581,2234,0.03520314762302811,0.0
Right,74,0.189841270000001,0.043739006,0,361.753442,2235,0.03556914962302811,0.0
Right,75,0.189841270000001,0.044106007,0,361.681543,3549,0.035936150623028115,0.0
Right,76,0.189841270000001,0.044472009,0,361.623499,3548,0.03630215262302811,0.0
Right,77,0.189605230000001,0.044754014,0,361.550439,3547,0.03666990485160735,0.0
Right,78,0.18936824,0.045036003,0,361.438867,3546,0.03703825530460216,0.0
Right,79,0.18913221,0.045317009,0,361.295007,2206,0.03740523559417641,0.0
Right,80,0.18889522,0.045599014,0,361.119958,2207,0.037773598296041024,0.0
Right,81,0.18877697,0.045740009,0,361.022791,755,0.03795102992246335,4.878949317646452e-05
Right,82,0.18865919,0.045881003,0,360.940759,3541,0.03812807429021575,9.784531416579136e-05
Right,83,0.18848705,0.045881003,0,360.825708,3538,0.03826970367297319,0.0
Right,84,0.18827629,0.045881003,0,360.689172,3537,0.03848046264156081,1.0314123721766322e-09
Right,85,0.18803501,0.045881003,0,360.615747,192,0.03872174367297318,0.0
Right,86,0.18758297,0.045881003,0,360.536096,719,0.039173783672973195,0.0
Right,87,0.1871314,0.045881003,0,360.489221,2201,0.03962535367297318,0.0
Right,88,0.18667936,0.045881003,0,360.456873,3539,0.040077393672973194,0.0
Right,89,0.18622827,0.045881003,0,360.432397,3535,0.04052848367297318,0.0
Right,90,0.18577623,0.045881003,0,360.412622,3533,0.040980523672973196,0.0
Right,91,0.18532419,0.045881003,0,360.396204,3525,0.04143256367297318,0.0
Right,92,0.18487215,0.045881003,0,360.384668,3526,0.04188460367297317,0.0
Right,93,0.184420100000001,0.045881003,0,360.389673,2191,0.04233665367297218,0.0
Right,94,0.18396902,0.045881003,0,360.458337,2193,0.04278773367297317,0.0
Right,95,0.18351697,0.045881003,0,360.826746,3531,0.04323978367297318,0.0
Right,96,0.183086390000001,0.045881003,0,361.280908,3527,0.043670363672972196,0.0
Right,97,0.18265533,0.045881003,0,361.511011,3528,0.04410142367297318,0.0
Right,98,0.182224270000001,0.045881003,0,361.635889,3532,0.04453248367297219,0.0
Right,99,0.18179225,0.045881003,0,361.696436,3503,0.044964503672973194,0.0
Right,100,0.181361190000001,0.045881003,0,361.706812,3502,0.04539556367297218,0.0
