node_id,X_m,Y_m,Z_m,Temperature_C
1,0.0640473300000002,0.0072659999999999,0.0,542.19
2,0.0645413399999999,0.0072659999999999,0.0,541.78
3,0.0643362999999999,0.0067680029999999,0.0,541.87
4,0.0495572000000006,0.0014070129999999,0.0,755.43
5,0.0489840500000005,0.0013229999999999,0.0,754.85
6,0.04920101,0.0018460009999999,0.0,755.81
7,0.0441193499999999,0.0041280089999999,0.0,680.68
8,0.0435223499999999,0.004105002,0.0,677.56
9,0.0437684000000003,0.004690007,0.0,676.14
10,0.09481334,0.015066013,0.0,621.07
11,0.0953512100000005,0.014543012,0.0,621.8
12,0.0946912700000002,0.014457003,0.0,621.51
13,0.0541720300000001,0.007250011,0.0,576.92
14,0.0536980600000003,0.007663012,0.0,579.8
15,0.0543260500000002,0.0077630139999999,0.0,575.74
16,0.0937571500000001,0.0057650059999999,0.0,689.57
17,0.0940852100000003,0.006250009,0.0,693.3
18,0.0942492399999999,0.0057650059999999,0.0,694.91
19,0.0537233300000004,0.0071530049999999,0.0,579.91
20,0.0532612800000001,0.0072380009999999,0.0,583.17
21,0.153520100000001,0.024979011,0.0,446.4
22,0.153540130000001,0.024359003,0.0,447.04
23,0.15309095,0.024726004,0.0,447.25
24,0.157807350000001,0.027505011,0.0,438.18
25,0.15786838,0.026923001,0.0,438.82
26,0.15737819,0.027253002,0.0,439.12
27,0.177313320000001,0.048359007,0.0,358.66
28,0.17733812,0.047771007,0.0,359.01
29,0.17659235,0.048083008,0.0,358.94
30,0.17424821,0.047280014,0.0,359.64
31,0.173639290000001,0.047792003,0.0,359.47
32,0.17426824,0.048055008,0.0,359.26
33,0.159868240000001,0.026331008,0.0,437.06
34,0.16025209,0.025875002,0.0,437.8
35,0.15967702,0.025795013,0.0,438.43
36,0.132596970000001,0.017963007,0.0,547.84
37,0.13223934,0.018221006,0.0,549.16
38,0.13270711,0.018391013,0.0,545.93
39,0.134863370000001,0.017735005,0.0,533.17
40,0.13563013,0.017747,0.0,528.03
41,0.1353631,0.017182008,0.0,530.24
42,0.16166925,0.029056013,0.0,427.98
43,0.16129493,0.029414013,0.0,428.5
44,0.16176319,0.029584006,0.0,427.18
45,0.14228534,0.016950012,0.0,490.1
46,0.142325400000001,0.017532006,0.0,488.85
47,0.142779350000001,0.017229006,0.0,486.81
48,0.16594696,0.029616013,0.0,416.84
49,0.166211120000001,0.029112011,0.0,416.26
50,0.165712350000001,0.02911,0.0,417.44
51,0.154073230000001,0.02314201,0.0,447.5
52,0.15406131,0.023951009,0.0,446.75
53,0.1548233,0.023709014,0.0,445.95
54,0.0206379800000001,0.0042010099999999,0.0,640.39
55,0.0208520800000001,0.0047050119999999,0.0,639.01
56,0.0211329400000002,0.0042010099999999,0.0,637.94
57,0.0226683599999999,0.00320001,0.0,631.56
58,0.0221772100000006,0.00320001,0.0,633.54
59,0.02239608,0.00369601,0.0,632.55
60,0.0173802300000006,0.0047060109999999,0.0,659.94
61,0.0171761500000001,0.0042020089999999,0.0,661.71
62,0.01688432,0.0047060109999999,0.0,663.54
63,0.0248212800000003,0.0047040139999999,0.0,623.99
64,0.0250892600000006,0.004200012,0.0,623.62
65,0.0245943000000004,0.004200012,0.0,624.9
66,0.0081400800000004,0.0004460069999999,0.0,738.47
67,0.00792312,0.0,0.0,739.0
68,0.0077061600000005,0.0004430119999999,0.0,738.59
69,0.0454993200000002,0.0,0.0,749.8
70,0.0451231000000005,0.0,0.0,745.92
71,0.0453000000000001,0.0004120029999999,0.0,742.82
72,0.0504460300000007,0.0004229999999999,0.0,754.96
73,0.0502161900000004,0.0,0.0,754.89
74,0.05003213,0.0004600139999999,0.0,754.99
75,0.04959106,0.0004450089999999,0.0,754.96
76,0.0491671500000006,0.0004280059999999,0.0,754.89
77,0.0493559800000005,0.0009050069999999,0.0,755.01
78,0.0910501400000001,0.01437901,0.0,621.16
79,0.09149122,0.014557004,0.0,620.95
80,0.0915160100000003,0.014024005,0.0,621.54
81,0.12425708,0.013369009,0.0,567.88
82,0.12380218,0.013530001,0.0,567.76
83,0.12417602,0.013992012,0.0,567.87
84,0.0466732900000002,0.0008130079999999,0.0,747.48
85,0.0463280600000004,0.0011240099999999,0.0,741.92
86,0.0468392300000007,0.0013450089999999,0.0,744.63
87,0.0056362100000004,0.006196007,0.0,731.69
88,0.0060863500000003,0.0065460059999999,0.0,730.87
89,0.0061693100000006,0.0060900009999999,0.0,731.03
90,0.00563526,0.006726012,0.0,731.14
91,0.0215673400000007,0.005200014,0.0,635.2
92,0.0213480000000006,0.0047050119999999,0.0,636.62
93,0.0210690500000004,0.005200014,0.0,637.54
94,0.0221223799999999,0.004200012,0.0,633.49
95,0.0219030300000007,0.00369601,0.0,634.62
96,0.0273261000000007,0.00369601,0.0,619.77
97,0.0270919800000007,0.00320001,0.0,620.09
98,0.0268330500000005,0.00369601,0.0,620.41
99,0.05498695,0.0067680029999999,0.0,571.95
100,0.05449533,0.0067680029999999,0.0,574.89
101,0.0546989400000006,0.0072940139999999,0.0,573.66
102,0.0038633300000006,0.003586009,0.0,740.03
103,0.0029582900000004,0.0034400079999999,0.0,742.45
104,0.0033731399999998,0.0041470079999999,0.0,740.24
105,0.0039863499999999,0.0090410119999999,0.0,727.06
106,0.0039863499999999,0.00938201,0.0,726.42
107,0.0043363499999999,0.00938201,0.0,726.78
108,0.0579390499999999,0.0067680029999999,0.0,557.45
109,0.0574469500000001,0.0067680029999999,0.0,559.53
