edge_name,edge_point_id,arc_length,arc_length_norm,X_m,Y_m,Temperature_C
Left,0,0.0,0.0,0.0,0.0020230119999999,754.0751
Left,1,0.0005881193129774729,0.025,3.939510024045157e-05,0.0025394140060019128,753.3362641552794
Left,2,0.0011762386259549459,0.05,3.694474195689943e-05,0.003106754058023464,751.9745697602938
Left,3,0.0017643579389324188,0.07500000000000001,3.554586163258279e-05,0.0036976113922981236,750.714549475116
Left,4,0.0023524772519098918,0.1,7.905810257734492e-05,0.004264408704114826,749.5576074572256
Left,5,0.0029405965648873645,0.125,0.0002487484671773026,0.004727555191740611,748.5203422640186
Left,6,0.0035287158778648377,0.15000000000000002,0.0005465023495781849,0.005071536529891165,747.271705448743
Left,7,0.004116835190842311,0.17500000000000002,0.0009711379684320949,0.005282449265260228,746.0926077008603
Left,8,0.0047049545038197835,0.2,0.001506939521587544,0.0053552442519676675,744.7013110464318
Left,9,0.005293073816797256,0.225,0.0021103780695805583,0.005353001510177214,743.318959736926
Left,10,0.005881193129774729,0.25,0.0026866818841687437,0.005386234697651406,741.8710420909838
Left,11,0.006469312442752203,0.275,0.0031819083251153424,0.005540083743740206,739.8811272966356
Left,12,0.007057431755729675,0.30000000000000004,0.0035613456751393924,0.005830430556747881,737.1269990776033
Left,13,0.007645551068707148,0.325,0.0038131064935911334,0.006245753654892586,735.0321823024842
Left,14,0.008233670381684622,0.35000000000000003,0.003943740145329802,0.006762387589946911,734.9055274632902
Left,15,0.008821789694662093,0.375,0.003935976031502071,0.007380486877396005,733.9033381834068
Left,16,0.009409909007639567,0.4,0.003917803581790435,0.00796525984953059,730.4518082417794
Left,17,0.00999802832061704,0.42500000000000004,0.0039929998705829795,0.008449762335047047,727.7869750550866
Left,18,0.010586147633594513,0.45,0.0042285159173786335,0.008825749495914876,726.4542373297843
Left,19,0.011174266946571986,0.47500000000000003,0.0046155319781271305,0.009082867565938145,726.8588619980837
Left,20,0.011762386259549458,0.5,0.005071589841907981,0.0091608994576583,726.7213251126783
Left,21,0.012350505572526932,0.525,0.005514871326902988,0.009045449017465915,726.1825247808598
Left,22,0.012938624885504405,0.55,0.005863558251293954,0.008767947570684874,726.0771395883986
Left,23,0.013526744198481877,0.5750000000000001,0.006030851207415518,0.008405204498220823,727.1466217101893
Left,24,0.01411486351145935,0.6000000000000001,0.0060600759975973535,0.007914764473302301,728.3334729642528
Left,25,0.014702982824436824,0.6250000000000001,0.0060390523968432315,0.007343424524071666,729.5021309582023
Left,26,0.015291102137414296,0.65,0.0060953934212516,0.006828171819360087,730.504380306989
Left,27,0.015879221450391768,0.6749999999999999,0.006296142692632253,0.006445424133710089,730.9853099630752
Left,28,0.016467340763369243,0.7000000000000001,0.006627780553639094,0.006190543196113042,729.5292972762975
Left,29,0.017055460076346715,0.7250000000000001,0.007099160910581025,0.006034259405157984,726.6748236379707
Left,30,0.017643579389324187,0.75,0.007680762186790795,0.005993574130046828,723.6461429243841
Left,31,0.018231698702301662,0.7750000000000001,0.008255479659979989,0.006088493261422308,720.0656671056232
Left,32,0.018819818015279134,0.8,0.008711729983661518,0.0062952045998717005,715.1716988740698
Left,33,0.019407937328256606,0.8250000000000001,0.009029603896318546,0.006604846385352502,708.1614510810205
Left,34,0.01999605664123408,0.8500000000000001,0.009217009704796051,0.007041579511646535,702.5957599315119
Left,35,0.020584175954211553,0.8750000000000001,0.009291667240152601,0.007578394999572768,698.732893683784
Left,36,0.021172295267189025,0.9,0.009294210072913402,0.008165370130483511,695.7460031988661
Left,37,0.0217604145801665,0.9250000000000002,0.009286545011945013,0.008731302355155944,693.3926474143938
Left,38,0.022348533893143972,0.9500000000000001,0.009280911341627087,0.009295568038220566,691.5033228962667
Left,39,0.022936653206121444,0.9750000000000001,0.009303197191721393,0.009845836256282268,690.0479606538263
Left,40,0.023524772519098916,1.0,0.0093550600000007,0.010382012,689.019922
