edge_name,edge_point_id,arc_length,arc_length_norm,X_m,Y_m,Temperature_C
Top,0,0.0,0.0,0.0093550600000007,0.010382012,689.019922
Top,1,0.0020255126063892267,0.008196721311475409,0.010488895827525189,0.009638442035071101,689.0832017419127
Top,2,0.0040510252127784535,0.016393442622950817,0.011343803383493821,0.008463116333012636,693.939741367719
Top,3,0.00607653781916768,0.024590163934426226,0.012394529755601553,0.007397141373257967,702.7741529971236
Top,4,0.008102050425556907,0.032786885245901634,0.013663645164279646,0.0065165357961640726,695.4514278276672
Top,5,0.010127563031946134,0.040983606557377046,0.015130801575787329,0.005893525003021216,676.8739510261479
Top,6,0.01215307563833536,0.04918032786885245,0.017074987344347238,0.005802565485503517,660.9301402916836
Top,7,0.014178588244724587,0.05737704918032786,0.019162376528324632,0.0059436142148703375,647.5634237811533
Top,8,0.016204100851113814,0.06557377049180327,0.02116432659678303,0.006086161027919961,636.7208055464877
Top,9,0.01822961345750304,0.07377049180327869,0.02312598897009914,0.006134722055737699,628.3516972584754
Top,10,0.020255126063892268,0.08196721311475409,0.025087582512570754,0.006181000750819666,622.4130744427649
Top,11,0.022280638670281495,0.09016393442622951,0.027049176055042368,0.006227279445901634,618.8762559785739
Top,12,0.02430615127667072,0.0983606557377049,0.029010769597513978,0.006273558140983601,617.7221567015127
Top,13,0.026331663883059946,0.10655737704918032,0.030972363139985595,0.006319836836065568,618.9447375760591
Top,14,0.028357176489449173,0.11475409836065573,0.0329339566824572,0.006366115531147535,622.5504308508939
Top,15,0.0303826890958384,0.12295081967213113,0.03489558788123995,0.006410569268091813,628.5587252465098
Top,16,0.03240820170222763,0.13114754098360654,0.03685977481803396,0.006430360517797293,636.9971664174769
Top,17,0.03443371430861685,0.13934426229508196,0.038830915253997844,0.006439091994084813,647.9038181738832
Top,18,0.03645922691500608,0.14754098360655737,0.04080134921700582,0.006499737546895409,661.1565774441312
Top,19,0.038484739521395306,0.15573770491803277,0.04273718896709269,0.0067156232988519575,673.8033759709735
Top,20,0.040510252127784536,0.16393442622950818,0.04461695198214384,0.007154775566621225,667.6475821329133
Top,21,0.04253576473417376,0.17213114754098358,0.04645111104848145,0.0078025679594530386,639.2094089754762
Top,22,0.04456127734056299,0.18032786885245902,0.04826577351496022,0.008548802346070005,614.1325022422941
Top,23,0.046586789946952215,0.1885245901639344,0.05008845051833574,0.009254466012186418,597.1953138578709
Top,24,0.04861230255334144,0.1967213114754098,0.051946534846957174,0.009786281826235014,583.356669197826
Top,25,0.05063781515973067,0.20491803278688522,0.053859327795506534,0.010091351122186837,571.3443136493787
Top,26,0.05266332776611989,0.21311475409836064,0.05581998354704126,0.010203796023949916,561.0137350847217
Top,27,0.05468884037250912,0.22131147540983606,0.05779352088503517,0.010223126539947475,552.8257449944788
Top,28,0.05671435297889835,0.22950819672131145,0.059760312248818684,0.010234269994227269,546.7765077215141
Top,29,0.05873986558528758,0.23770491803278687,0.06172235224665651,0.010271176283102704,542.8199337860951
Top,30,0.0607653781916768,0.24590163934426226,0.06368394556134019,0.010317227514140518,540.9211298580085
Top,31,0.06279089079806603,0.2540983606557377,0.06564553889159488,0.010363294294045861,541.0615685324624
Top,32,0.06481640340445526,0.2622950819672131,0.06760713548801876,0.010409125255751783,543.2486650767629
Top,33,0.06684191601084448,0.2704918032786885,0.06957002514943238,0.010437299418170225,547.4990112864272
Top,34,0.0688674286172337,0.2786885245901639,0.07153895777299779,0.010445872378163468,553.8479085810536
Top,35,0.07089294122362294,0.28688524590163933,0.07351138277439043,0.010484031656801434,562.3524847072573
Top,36,0.07291845383001216,0.29508196721311475,0.0754621180558228,0.01064333298339392,573.2206579478728
Top,37,0.07494396643640139,0.3032786885245901,0.07737090621107699,0.010986778369201982,586.3966115086052
