edge_name,edge_point_id,arc_length,arc_length_norm,X_m,Y_m,Temperature_C
Right,0,0.0,0.0,0.19694900000000004,0.028348014,376.957971
Right,1,0.0017251510500730881,0.024999999999999998,0.19871764019808094,0.02869305155043534,377.11116976197474
Right,2,0.0034503021001461762,0.049999999999999996,0.20025739226384331,0.0293203025087951,377.22892600187697
Right,3,0.005175453150219264,0.075,0.20125015792787793,0.030136001555182142,377.30382955922533
Right,4,0.0069006042002923524,0.09999999999999999,0.20166102138737965,0.03097295571490355,377.3309024206753
Right,5,0.00862575525036544,0.125,0.20137181625162728,0.03152037932967479,377.32634265497546
Right,6,0.010350906300438528,0.15,0.20039727735213828,0.03178242822993221,377.29045581131436
Right,7,0.012076057350511617,0.17500000000000002,0.19889858977119096,0.031716605871776674,377.19993538573686
Right,8,0.013801208400584705,0.19999999999999998,0.19715795113426934,0.03138260306332077,377.06836313249977
Right,9,0.015526359450657792,0.22499999999999998,0.1954976210735818,0.03101887054932842,376.88275890852424
Right,10,0.01725151050073088,0.25,0.19393342107112913,0.031050072616879962,376.6121468241022
Right,11,0.01897666155080397,0.275,0.19248751804991648,0.031510130576373425,376.2772582879122
Right,12,0.020701812600877056,0.3,0.1912434013025087,0.032375097008424454,375.78323938264276
Right,13,0.022426963650950146,0.325,0.1902289573710081,0.03360588335734614,374.7774943249027
Right,14,0.024152114701023235,0.35000000000000003,0.18941457490721902,0.03506761619010504,373.2298294951169
Right,15,0.02587726575109632,0.375,0.18867120357582445,0.03665466741325294,371.3527109790999
Right,16,0.02760241680116941,0.39999999999999997,0.1880416562943495,0.038341862515314684,369.2654422442851
Right,17,0.0293275678512425,0.425,0.18781663271696228,0.03981853485851035,367.0543203399008
Right,18,0.031052718901315585,0.44999999999999996,0.18800820131092916,0.04115692973543321,364.4872736918368
Right,19,0.03277786995138868,0.47500000000000003,0.1884631872242384,0.04248938250909993,362.4479680674214
Right,20,0.03450302100146176,0.5,0.18888742906732436,0.04372361859610118,361.8973957887457
Right,21,0.03622817205153485,0.5249999999999999,0.18899382542586357,0.04475792315605099,361.6624885528434
Right,22,0.03795332310160794,0.55,0.18853839868014738,0.04555332979765145,361.11581137359315
Right,23,0.03967847415168103,0.575,0.18738609651999177,0.04614684007330355,360.50609127155326
Right,24,0.04140362520175411,0.6,0.18574865084351105,0.046543066137184654,360.4050870444864
Right,25,0.043128776251827206,0.625,0.18394616485350246,0.04650968033993501,360.5605367385108
Right,26,0.04485392730190029,0.65,0.182243658218671,0.046507586152995176,361.6507172130833
Right,27,0.04657907835197338,0.6749999999999999,0.18082750794313981,0.046855118566209386,361.5721583158088
Right,28,0.04830422940204647,0.7000000000000001,0.17977040985415668,0.04759039430329257,360.48189108928665
Right,29,0.050029380452119555,0.725,0.17910250873576083,0.048714341802707214,358.61728126421906
Right,30,0.05175453150219264,0.75,0.1787972818167757,0.05018325535312244,357.78831792017274
Right,31,0.053479682552265734,0.775,0.1787609926487493,0.05188621556593176,356.91481161789966
Right,32,0.05520483360233882,0.7999999999999999,0.17883269110595415,0.053645089375253155,356.00157964413444
Right,33,0.056929984652411905,0.825,0.17880943654999976,0.05529992327953947,355.05411297185935
Right,34,0.058655135702485,0.85,0.17876327989999977,0.05694879423960524,354.1297312577253
Right,35,0.060380286752558084,0.875,0.17871712324999978,0.05859766519967103,353.1682017247008
Right,36,0.06210543780263117,0.8999999999999999,0.17867096659999976,0.06024653615973681,352.22611689468823
Right,37,0.06383058885270426,0.925,0.17862480994999994,0.06189540711980264,351.33039780757116
Right,38,0.06555573990277735,0.9500000000000001,0.17857865329999995,0.06354427807986843,350.5030991069089
Right,39,0.06728089095285043,0.975,0.17853249664999998,0.0651931490399342,349.8827762731686
Right,40,0.06900604200292353,1.0,0.17848634,0.06684202,349.676172
