grid_i,grid_j,X_m,Y_m,Temperature_C,filled_by_nearest
0,0,0.0,0.0020230119999999,754.0751,0
0,1,0.0016792033980565634,0.0013152006612183942,747.3446157436007,0
0,2,0.0034399331941935437,0.0006304939619092137,759.7914509467357,0
0,3,0.005330560090087874,0.0002660240780350094,749.4132487720386,0
0,4,0.00726659830979189,0.0002304429693549642,739.4343533480903,0
0,5,0.008985609206336653,0.0006329048231686484,746.541614933908,0
0,6,0.010805199661539554,0.0014722589644577226,738.5613631789299,0
0,7,0.012479553851515925,0.0022086346063687375,713.1063839760609,0
0,8,0.014221407223988902,0.0028703367279326575,687.2942760072727,0
0,9,0.016123620416989747,0.0033346101953332704,668.0070994629024,0
0,10,0.01827713348808021,0.003476779294284859,652.0866547073952,0
0,11,0.020588633867779815,0.0033564209375439497,639.3475951086252,0
0,12,0.02279000301337839,0.003341244645901627,629.6770662408825,0
0,13,0.024983040764888862,0.0033628225163934303,623.0729630404845,0
0,14,0.02717607851639934,0.003384400386885234,619.439348227781,0
0,15,0.02936911626790982,0.0034059782573770373,618.7793845908126,0
0,16,0.031562154019420294,0.0034275561278688405,621.0887319152876,0
0,17,0.0337583143100095,0.0034678180098503854,626.3559254150285,0
0,18,0.03604401293396054,0.003626791288948332,634.6675954992122,0
0,19,0.03824102972041139,0.003607052909026157,646.0237155179758,0
0,20,0.040201461110103615,0.0032401016430303902,660.6672776453589,0
0,21,0.042006642746099804,0.002650613205246746,684.024041915404,0
0,22,0.04383721003594315,0.001863963545480395,729.9901914097138,0
0,23,0.045849683094868206,0.0011803365235366187,751.9745807765161,0
0,24,0.04763544215556077,0.0009152321887103331,756.4837525146055,0
0,25,0.04878371687304718,0.000998839596629997,754.8802385563569,0
0,26,0.049047079714445926,0.00161441160375078,754.9130794000395,0
0,27,0.04866845224785769,0.0023848812219081535,757.3595624554163,0
0,28,0.04788726113015952,0.003280345979534999,748.0578013211232,0
0,29,0.04740909298118997,0.004099746223283516,690.1170365871167,0
0,30,0.0476731032389629,0.0048613444236848295,643.9432596638793,0
0,31,0.04897574083263549,0.005614974690283749,625.3923296547916,0
0,32,0.05090905953469936,0.006325564000937332,602.2097482561123,0
0,33,0.05305150412734679,0.006729937934411845,586.787027381206,0
0,34,0.05510421063777115,0.006983212059845303,571.1762169246075,0
0,35,0.05727400237222159,0.007083103205451129,559.8206522818288,0
0,36,0.05943240788856143,0.00716024759078839,551.2720918929601,0
0,37,0.06167934306459147,0.00709242416948033,545.3520463801917,0
0,38,0.06387238914807489,0.007113490196870239,542.0424608236423,0
0,39,0.06606542674566494,0.007134916423206197,541.2660740190485,0
0,40,0.06825846428405484,0.007156284324866832,543.0335344965272,0
0,41,0.07045150180271136,0.007177632784969025,547.3661823600058,0
0,42,0.07264453934110125,0.00719900068662966,554.2865178149071,0
0,43,0.07483860017048596,0.007236187286188907,563.9081158464983,0
0,44,0.07703679327149812,0.007293083662098223,576.1244068616207,0
0,45,0.07922556778060197,0.007275228856946058,589.820977391351,0
0,46,0.08140411407076359,0.007157513600313767,603.049859283374,0
0,47,0.0835764272056257,0.006979058468824726,615.874718365293,0
0,48,0.08574650216595084,0.006778902384556861,627.6346823959188,0
